%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-957.5056,668.1587,1
-269.90082,-459.93793,0
-89.06034,-688.6156,0
-750.5187,533.15344,1
-581.20746,-353.4981,1
-689.10394,464.64163,1
-209.2139,20.103249,1
-392.15546,-816.4192,0
-173.4621,-434.1071,0
602.0458,860.3783,1
705.8638,-530.53534,0
601.44684,-213.79607,0
-719.401,-330.75955,1
-802.4087,657.9795,1
-120.12354,-676.3476,0
-548.2036,41.521095,1
780.8164,-200.35722,0
644.5937,-369.5827,0
121.58096,-537.43726,0
327.88516,843.21814,1
758.7462,472.5467,0
-55.7303,26.513695,1
95.94441,-182.56001,0
2.9904356,-443.51886,0
-764.26807,-462.64038,1
-873.0414,756.47797,1
331.63098,-279.03546,0
-989.69415,-226.74084,1
-457.6949,-621.4856,0
550.917,179.3972,0
-585.185,821.7949,1
-152.6001,-505.5175,0
-51.087116,-594.01245,0
174.94081,-557.3184,0
-180.6758,-686.4378,0
-520.4973,889.2333,1
157.9745,685.27057,1
-845.18335,-576.5404,1
-676.8908,228.31836,1
-408.37912,-19.131355,1
907.2653,-943.2053,0
313.6005,621.92975,1
961.0424,444.43668,0
-960.5196,-189.90227,1
-665.3698,-405.19214,1
535.7249,656.6635,1
464.04446,-441.03342,0
349.29788,-374.98822,0
554.02325,-344.29416,0
534.9342,411.86124,0
-865.4609,774.4399,1
-883.6203,-451.933,1
-7.1226606,-734.1839,0
-953.9524,586.56256,1
-591.76385,350.1323,1
-347.45053,-829.9795,0
140.80006,598.6344,1
-1009.44946,95.80857,1
-47.758575,-932.224,0
932.4035,120.82019,0
-940.4,91.51495,1
-933.9853,773.75775,1
49.497463,-538.27295,0
-511.60562,67.446335,1
-95.36144,-348.1861,0
209.34537,928.75525,1
819.54974,263.58432,0
-195.2573,88.70782,1
-992.4876,-697.5147,1
583.8572,100.35467,0
-174.35843,-188.73682,1
560.17694,-723.0092,0
770.0621,417.1307,0
540.17834,-931.70667,0
-881.8612,172.52086,1
-130.49832,-983.0405,0
919.71,-205.49815,0
-899.01764,-136.57944,1
-135.71942,-167.06412,0
-226.00671,-908.78754,0
-723.8744,-677.5442,1
719.5484,-569.42053,0
-885.7409,-1.6596619,1
-669.3757,-237.11014,1
79.21968,81.364655,1
-37.850533,393.44135,1
353.62772,-1038.2948,0
-649.8836,-1014.76544,0
128.46587,236.97662,1
64.26921,-428.70703,0
-907.9632,-615.5215,1
433.81982,388.10657,0
683.5509,472.73154,0
-489.3542,797.7785,1
-261.70233,-857.62213,0
-1040.5773,-8.549019,1
776.3527,411.52896,0
89.14537,291.5921,1
-888.2249,85.634125,1
-334.51193,-804.2828,0
584.2465,176.94989,0
68.46219,29.126259,0
440.10724,63.68986,0
484.81772,-300.76596,0
314.73956,443.93018,1
-250.35199,-930.92865,0
-1006.74536,364.3503,1
276.6461,-307.4644,0
551.4334,128.88889,0
341.469,178.96893,0
203.87625,617.3878,1
507.66104,-20.358536,0
1011.3144,669.30914,0
-90.40923,-786.2815,0
-375.96533,-487.402,0
-68.14676,276.28967,1
63.373024,-557.2287,0
-450.40805,396.03714,1
-31.771553,782.3114,1
719.19324,535.123,0
758.55035,275.44037,0
-366.19458,248.87169,1
-707.2465,898.3563,1
383.1372,747.82794,1
21.012897,790.0058,1
81.98779,-670.2345,0
161.39182,-166.52463,0
-943.0393,-25.772264,1
-449.24362,843.0748,1
-94.18256,617.17645,1
247.42924,37.195763,0
-231.07993,-851.6729,0
987.5365,202.01869,0
-522.7801,-101.25042,1
222.00008,-123.848564,0
866.2423,111.3114,0
86.12857,611.2722,1
670.5222,611.5424,0
578.7611,188.85982,0
-862.0566,321.4984,1
-947.08514,-401.9139,1
128.43448,484.20282,1
-555.1072,404.95047,1
-613.5257,291.24286,1
193.80035,667.73315,1
-498.1395,-268.89917,1
728.4294,-321.15274,0
98.19484,400.79504,1
-376.5432,-861.83386,0
-786.4641,-751.58685,1
-448.08344,987.90424,1
-37.323517,339.1115,1
385.89395,264.13083,0
-104.50552,-437.8388,0
-977.60284,544.99365,1
490.83304,621.61926,1
-563.6401,1000.7306,1
250.36287,-21.798908,0
287.72562,-924.4521,0
-618.1215,34.93395,1
434.5698,156.44403,0
586.4833,-415.83136,0
-670.7897,409.05402,1
389.1144,358.5293,0
-300.73865,685.59717,1
376.86398,-846.6243,0
-259.41696,-364.99838,0
-965.4554,-586.6385,1
674.07935,970.28766,1
-608.0413,700.66077,1
-656.7015,773.2842,1
-577.6819,-212.55408,1
-745.21155,-258.23834,1
-143.72668,-459.8079,0
88.16045,-190.94713,0
-598.9997,688.3869,1
-372.18607,-608.7542,0
978.80133,795.2245,0
893.2763,-557.9764,0
-375.32788,472.8606,1
770.1099,420.22977,0
907.2869,-290.19153,0
-631.6599,-599.762,1
-37.142517,3.0516245,1
-139.64323,-619.7962,0
-343.68362,812.4534,1
-324.7566,-31.723497,1
-690.72107,780.0415,1
551.48596,851.849,1
559.23773,581.7431,1
375.0148,979.92505,1
939.4409,-95.84774,0
954.5332,-286.32007,0
893.9087,-636.0952,0
711.08606,925.29486,1
-632.95844,-787.75916,0
-116.18027,-949.85876,0
-267.72806,292.33133,1
978.8888,-977.60486,0
149.2131,441.94846,1
113.46171,249.15724,1
263.75958,-340.94366,0
831.7773,803.15955,0
190.58922,-627.098,0
-104.79219,-960.86584,0
-557.47546,-811.8174,0
373.27948,-836.07526,0
-103.7988,494.86926,1
-12.3954,-84.58389,0
408.50162,-238.73648,0
885.67786,-269.63702,0
723.2027,-547.13336,0
146.49074,-193.80643,0
-567.705,444.6376,1
44.916447,286.86746,1
381.42175,219.2204,0
-773.18146,327.86575,1
-966.1047,-331.2836,1
-628.1629,-579.60913,1
532.74115,-757.41864,0
-54.195724,179.85548,1
425.22348,-190.7749,0
-530.25635,728.7368,1
-260.69293,823.89154,1
57.40586,-971.12305,0
426.50427,920.3967,1
198.29385,443.3045,1
-289.43365,69.30514,1
88.12985,-467.34207,0
106.46629,470.11917,1
-66.28005,-583.7129,0
999.1306,-29.937479,0
284.1652,-346.88675,0
-803.62866,-972.96484,0
565.377,722.32245,1
95.47003,259.3162,1
-180.1542,1008.9732,1
827.8714,849.5959,0
878.61945,-975.4034,0
371.43356,-604.0885,0
717.44165,517.8636,0
-55.306118,-372.93222,0
-25.993958,-344.59766,0
22.598951,-774.881,0
728.2772,-922.1601,0
-161.84514,-77.50888,1
