%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-1053.4358,-325.16995,0
-1071.1736,-313.5116,0
-437.25302,261.53952,1
226.10785,-64.25142,0
-729.8857,328.20047,1
-897.7842,643.2791,1
-203.64502,31.204212,1
964.994,-690.90765,0
55.17731,802.0878,1
-729.3067,-605.55786,0
751.56067,48.79977,1
-831.58685,-394.63098,0
-902.77057,680.764,1
279.23593,-443.58646,0
-515.1786,-953.7425,0
258.5959,880.0402,1
761.04034,-538.5783,0
1078.2977,792.0345,1
543.0992,646.6278,1
-838.7086,-3.2096028,1
845.4487,502.21136,1
144.0943,255.74524,1
137.33867,286.6029,1
-872.82,927.1444,1
-820.6755,335.97678,1
-538.98645,-1098.3894,0
-816.4703,-490.23398,0
-516.3138,-122.260254,0
544.559,248.47357,1
5.1418614,826.46356,1
655.72034,529.34766,1
-338.94733,-219.21352,0
-952.59973,939.4456,1
-1078.7136,61.666687,0
-456.1262,990.134,1
-436.97186,743.5528,1
-637.6001,-854.7618,0
-384.6752,420.09265,1
840.83246,1019.9846,1
-636.7105,-684.54596,0
-252.24976,212.90038,1
-985.42914,1014.2613,1
-1017.3456,480.502,1
212.16261,-851.5186,0
195.97473,-515.6493,0
-882.52344,910.10065,1
-984.8872,770.05084,1
-1045.137,-413.4957,0
-795.4634,-630.7089,0
317.23767,825.87683,1
667.9836,-2.496325,0
871.3061,-331.98615,0
-863.7837,339.4544,1
146.10817,-598.9396,0
-693.0314,122.550156,1
184.79568,-507.9464,0
179.30656,-85.4577,0
-206.38326,-600.9061,0
601.73193,-816.1122,0
-296.44666,-173.98096,0
-233.79535,-996.18677,0
631.2792,157.04974,1
-1019.5966,59.66309,0
796.8098,551.16156,1
-842.4911,219.25847,1
-377.5172,-10.709615,1
62.936943,-532.7332,0
826.7825,-690.2419,0
50.196625,-1001.15546,0
476.124,-313.45148,0
-836.2205,343.90616,1
-256.35672,424.3,1
371.40765,-470.22955,0
271.20596,837.6361,1
359.18015,-947.6816,0
136.37065,907.0787,1
359.05167,936.2063,1
-497.85648,95.10361,1
452.23688,-618.52496,0
-401.93506,984.4302,1
-454.82257,-601.5804,0
-102.02734,546.37024,1
694.25885,-344.7302,0
-604.32336,-834.20764,0
-802.2608,-615.0913,0
-317.63297,180.27614,1
212.1916,373.45557,1
-808.5453,110.26395,1
-375.07703,-881.1316,0
-281.16986,873.31866,1
-504.69968,-493.85037,0
897.2355,-113.49646,0
957.9714,-276.65027,0
-317.5192,208.56987,1
-391.98108,-527.94025,0
-268.0752,333.07623,1
-334.80344,-833.56506,0
-882.98645,-488.6659,0
856.16907,638.9076,1
-719.55176,-359.43494,0
-344.23798,450.79315,1
518.2533,717.4861,1
-800.5549,204.6289,1
887.2657,-794.2968,0
286.22562,57.667286,1
-414.27368,610.02167,1
-448.41428,752.2444,1
485.6693,-444.19916,0
88.22217,-536.33215,0
-782.01514,-697.4978,0
-324.66306,-663.02313,0
-824.14075,525.09033,1
-883.9356,-785.05756,0
393.10275,979.4427,1
662.1595,-55.903023,1
410.375,1107.2538,1
-418.8313,639.83734,1
-358.54498,843.3904,1
-256.01315,-672.4561,0
908.2034,-743.0753,0
540.7147,118.934265,1
-879.1751,904.7338,1
-7.3308463,-589.05365,0
1024.7721,-935.57,0
-561.186,-723.5775,0
718.10846,-567.38184,0
-274.51892,-405.09634,0
870.7187,768.23474,1
287.69974,880.31824,1
-680.96545,-508.76788,0
838.5166,-373.3331,0
735.07416,-445.15994,0
115.63872,664.0195,1
-461.2059,-256.9122,0
280.46277,-169.50453,0
-742.778,327.75742,1
-530.92236,-314.86664,0
752.0574,34.72856,0
-717.3121,-685.3729,0
-945.25586,718.34937,1
373.18732,-768.3701,0
452.52942,-1033.4125,0
598.3366,-158.13292,0
645.6265,611.33124,1
872.12177,790.75104,1
-370.94955,245.27368,1
366.36993,202.27493,1
-1002.0773,-67.75868,0
179.14925,282.4015,1
168.29076,454.32364,1
-884.01825,-276.01398,0
-494.84863,646.6277,1
709.4414,-321.6573,0
-574.5376,-109.77723,0
-604.0383,286.13116,1
871.9917,-110.16734,0
-145.89552,-871.4931,0
-875.4304,-51.735764,0
-304.09445,-287.46783,0
11.499735,-974.3488,0
354.02704,493.2156,1
255.10245,-689.06537,0
689.42725,-857.98944,0
963.894,-184.51439,0
-453.66043,533.99133,1
884.0559,-202.59242,0
-210.67812,-240.62704,0
149.90462,-594.8945,0
-203.52217,338.70016,1
-601.2929,772.9236,1
590.41364,68.69416,1
191.27736,684.6448,1
-479.98505,-140.29764,0
-203.91203,-538.0817,0
-244.2737,-886.93695,0
651.6276,31.888344,1
804.3109,120.649185,1
120.3744,-441.70508,0
507.49643,519.47034,1
-938.394,166.05672,1
1054.2454,-352.4415,0
946.9703,-260.55426,0
-418.39066,187.2133,1
258.5271,-766.5933,0
672.08234,871.4779,1
-682.54895,174.47437,1
-81.75149,255.85913,1
-515.17377,417.54333,1
-107.21078,-375.9423,0
115.31655,-1023.6328,0
-355.604,130.93958,1
-784.8078,650.1782,1
804.9599,301.76794,1
64.17429,588.0652,1
-15.779944,72.0455,1
-560.4146,715.2272,1
-887.0223,-442.66162,0
298.104,-695.8431,0
289.7386,-727.0323,0
1109.2463,-415.27423,0
-672.57654,528.47205,1
-445.54776,-142.15704,0
565.0586,221.39542,1
493.0042,127.983505,1
-263.07373,422.2099,1
-909.7198,274.89322,1
-283.22345,-166.49612,0
-474.99622,809.9139,1
808.2586,90.98381,1
201.14088,944.3469,1
-176.56111,-0.5309613,0
