%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 500
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
995.824,284.78662,0
-889.40607,-198.03925,1
128.54395,178.35498,0
412.5896,-861.4496,0
509.24414,-450.61365,0
123.45569,992.70447,0
-462.67584,440.11768,0
-93.61249,270.70166,0
395.2439,-813.36005,0
637.5674,-316.15192,0
788.5073,-544.9595,0
819.88306,86.789185,0
-274.32764,65.20911,0
-478.7832,-947.50903,1
-755.7588,-10.188904,1
221.80322,261.78198,0
757.1378,988.3484,0
-752.25867,-550.6909,1
218.95215,-17.57898,0
-721.91003,441.20142,1
362.60767,-234.99481,0
447.01587,441.14746,0
-944.3317,-832.0819,1
259.44788,-115.51868,0
322.98303,216.33606,0
663.5637,-32.84961,0
544.94934,-386.11176,0
-922.8716,-903.87994,1
-515.52856,-96.75171,1
431.93823,322.43298,0
586.00964,348.7721,0
920.6522,-125.499756,0
195.41089,286.78784,0
-464.12183,587.0215,0
955.0619,-311.22723,0
-735.2888,-353.11798,1
-406.44263,999.41077,0
890.99036,-17.89154,0
106.22778,-738.4255,0
152.6615,-317.43237,0
-385.1834,650.5375,0
323.92896,-430.52014,0
842.95557,-530.9607,0
-230.70337,-510.90817,1
-350.20306,-389.50928,1
-933.7944,-461.94324,1
-151.90265,241.14502,0
674.66394,449.20056,0
440.69165,-409.30316,0
464.04675,-715.87476,0
983.7977,-935.15295,0
-578.6313,-723.479,1
420.64233,551.79565,0
-532.20844,-44.597046,1
-2.1141968,-928.0961,1
184.33105,-470.43036,0
-778.47534,-368.05084,1
774.58167,-78.49255,0
587.6831,-841.4564,0
0.8449707,927.85376,0
591.28296,980.99316,0
378.88342,-389.5172,0
345.6643,492.07617,0
-961.20044,335.9237,1
-593.1708,-244.61383,1
423.22156,-423.0244,0
481.93738,-280.326,0
-331.54633,478.53198,0
495.5586,84.603516,0
-426.42236,-672.214,1
534.421,215.7555,0
145.36829,627.89,0
-99.63745,217.67908,0
16.725403,-545.1886,0
858.78613,-925.7656,0
133.09802,-502.41153,0
645.3037,733.2162,0
650.1074,-403.5918,0
818.3163,-895.141,0
-675.16174,909.92786,0
-453.54517,467.93738,0
-853.0449,214.3429,1
999.89014,-314.62384,0
317.12488,776.1576,0
657.09546,-898.0067,0
104.05884,-257.43567,0
43.725098,30.19458,0
-812.15106,325.14832,1
925.8036,-459.22736,0
-94.13806,-290.83008,0
109.36572,-51.21698,0
811.19946,486.82568,0
770.29333,473.75037,0
-338.4345,222.75366,0
685.3124,-526.6906,0
837.50684,197.76917,0
-371.35492,361.23987,0
-417.86194,-706.4628,1
109.937256,710.47107,0
-507.5525,-757.1605,1
468.67664,-708.47095,0
-845.32446,462.37195,1
-801.2809,604.15845,1
724.59595,-247.58752,0
402.0713,-182.89795,0
-413.60217,-461.59595,1
559.43884,877.6079,0
373.0,878.6897,0
872.4099,-196.26831,0
-646.12,-23.546204,1
-597.6334,-846.636,1
265.3783,-426.01672,0
-967.41223,195.59229,1
-54.895203,324.80542,0
-331.16187,455.46814,0
-11.683777,-248.97095,0
318.60938,-9.014343,0
971.25244,109.1897,0
-437.8744,740.3391,0
-576.4875,-415.90283,1
180.83789,329.63684,0
-948.3691,-1.4692993,1
218.88391,-762.2629,0
403.26,235.1947,0
-130.11804,477.65796,0
642.2461,-464.6568,0
515.3085,341.66418,0
242.5354,871.02185,0
289.92004,589.14575,0
665.1797,-584.6488,0
-89.55408,724.9928,0
90.44873,810.43555,0
651.5298,-440.37805,0
-992.47845,-854.59705,1
-632.04004,-343.0893,1
-395.3672,-723.74536,1
724.8878,-159.76794,0
-877.57666,737.7921,1
-878.4346,-120.20239,1
-869.8843,269.97144,1
-780.4622,-378.43658,1
386.43384,-585.67883,0
331.43848,983.47,0
556.1581,-601.53296,0
909.35425,450.22913,0
670.8998,-162.38623,0
119.523926,435.73718,0
-201.05768,452.97974,0
325.32117,-73.35986,0
-122.450806,591.1865,0
-149.51404,-233.5304,0
891.53674,495.542,0
325.1482,183.58679,0
221.96936,-47.15454,0
-114.25946,152.19849,0
-172.28375,-833.4154,1
435.6322,-280.73486,0
193.86438,664.91943,0
401.77405,578.8718,0
65.997925,-436.30243,0
-670.7503,-449.2066,1
167.36084,142.07129,0
702.9269,-601.9736,0
-206.91577,865.03406,0
349.41724,423.80005,0
219.89917,-359.3722,0
267.3977,653.0309,0
-340.76935,191.89648,0
-738.6455,-864.1183,1
614.08716,543.16174,0
240.1399,975.5332,0
267.73694,-784.1048,0
-409.44238,309.2367,0
362.23816,-112.33447,0
647.5238,661.1625,0
917.4719,988.3436,0
956.1754,837.51965,0
96.40039,990.9512,0
-242.37067,848.8661,0
539.8572,-999.75934,0
-71.07898,221.49158,0
574.2473,-349.7027,0
838.12,-706.84033,0
-453.66675,738.776,0
-889.46387,-633.1227,1
136.63062,941.35095,0
118.19751,-106.967224,0
468.7212,548.7269,0
535.7449,-337.10107,0
948.1339,725.3738,0
454.94238,87.86597,0
140.20044,-398.77032,0
766.6897,317.56848,0
652.9037,-587.3457,0
-41.310425,527.6864,0
