%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 100
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
175.6471,-662.1047,1
95.640015,111.456665,1
640.5322,269.05872,1
532.99927,-502.167,1
718.4336,440.8739,1
212.24292,195.9403,1
-692.6837,848.13293,0
14.680603,-353.25623,1
908.7235,-467.51294,1
-569.1963,-538.9808,1
-13.907654,-130.40283,1
193.75745,-5.241638,1
797.1013,-849.9038,1
916.16956,875.8866,1
-529.8702,-280.9312,1
181.08496,-283.27295,1
-903.1369,143.8396,0
-929.05035,-767.02344,1
177.53003,-852.56683,1
214.29712,38.78479,1
-117.786255,375.151,1
-912.0079,498.85742,0
281.1266,-545.71313,1
533.5857,192.33228,1
-51.302002,262.08057,1
-770.4545,-220.49585,1
-839.2273,834.5886,0
-793.1784,-638.69604,1
281.1731,929.22876,1
403.41687,-217.2356,1
-275.67065,755.5338,0
-425.3603,-779.8909,1
106.440796,160.82764,1
835.6664,-142.95557,1
-316.37305,443.03296,1
253.24072,329.74768,1
305.56848,615.5139,1
-584.0132,-573.05145,1
384.4441,73.990234,1
-67.258484,-684.6632,1
-673.10693,-850.80975,1
628.7914,886.55896,1
-345.66797,-870.69055,1
-228.195,-757.24896,1
322.92175,-655.869,1
628.7921,366.56677,1
725.1752,826.49524,1
-342.62787,226.74097,1
-611.5937,-946.86755,1
-800.91125,-162.20026,1
480.91992,315.6997,1
669.4619,122.61621,1
895.04724,-615.8052,1
-71.080505,819.07935,1
896.8318,298.7428,1
-229.29694,127.22986,1
115.381226,-637.91565,1
-723.6988,310.78674,0
-9.408203,-296.08093,1
165.90845,-952.9229,1
-293.8329,149.58765,1
210.86841,961.94714,1
-894.4517,-450.5971,1
-722.9923,491.3213,0
-878.42065,-788.7295,1
632.2251,-21.350647,1
-153.56696,628.0647,1
778.64746,-252.44153,1
526.526,-697.4445,1
-740.877,-218.39008,1
487.85645,146.51123,1
-360.22675,-401.8662,1
-719.6013,-333.07275,1
184.77551,-79.30505,1
175.89294,951.16113,1
-383.49384,834.82275,0
-438.4278,-675.91785,1
-206.37646,254.21289,1
-256.92938,-525.82947,1
-858.37524,-270.31122,1
202.96167,831.83203,1
234.86328,-99.20984,1
457.07568,-967.9818,1
55.966797,-780.0702,1
308.95276,-595.4252,1
148.04932,971.6427,1
523.48596,-390.4347,1
127.06238,-935.47284,1
724.0167,771.14624,1
-163.91443,591.0548,1
-337.1552,-237.5987,1
800.3098,730.5084,1
-76.6792,-345.13715,1
580.9158,-787.1211,1
582.3884,770.2877,1
128.01013,-733.3629,1
-604.349,-741.4298,1
297.2279,-259.1316,1
662.739,-325.48572,1
-678.43146,922.3413,0
