%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-86.62331,330.31955,0
871.4156,-508.07547,0
-6.905296,1007.7426,0
446.75586,-965.49884,1
599.6698,633.95764,0
-1008.5393,-914.2934,1
589.5447,-32.009876,0
354.8105,675.90704,0
-757.00824,-59.511467,1
-70.052895,-777.35736,1
129.18935,-526.1967,0
-419.35425,-1077.0813,1
1174.9884,-180.05473,0
-699.64874,727.1145,1
709.65295,985.1681,0
199.4305,952.39594,0
641.73895,608.01556,0
-69.579895,1261.6802,0
94.96205,-514.7908,1
136.81635,298.2754,1
-694.3364,-634.7313,1
-318.371,691.8307,1
-224.0142,1022.25653,0
9.015768,-435.44217,1
767.85547,633.3461,0
577.19965,535.8457,0
-635.8846,432.76105,1
-294.42432,-342.47253,1
-929.0075,-1122.7983,1
834.8726,853.3017,0
-115.058426,-330.32422,1
432.3616,-866.5975,1
-656.0071,916.6935,1
-398.36224,268.93143,1
-473.50922,311.68552,1
-916.975,307.8603,1
-58.03081,266.05157,0
-1042.8201,506.20334,1
-76.50077,677.90265,0
-272.46542,-640.3292,1
-79.68489,-173.34172,1
276.13733,-772.17487,1
917.0598,-290.80264,0
-692.1299,-803.79315,1
468.55624,-340.72433,0
424.0467,-977.9928,1
536.5986,162.10115,0
793.9268,-272.7246,0
728.5858,-304.62585,0
-495.5123,9.357755,1
406.97308,811.9848,0
-261.03024,72.39788,1
57.947285,-350.77258,0
561.2363,817.36365,0
963.6839,190.636,0
-654.448,-409.37415,1
-858.03424,576.2152,1
-482.09198,-117.39055,1
-1199.6821,-424.24826,1
102.55497,965.1264,0
722.5003,-610.7471,0
507.63904,-636.7773,1
-640.3638,-363.85004,1
1003.7602,-11.018357,0
3.9732785,1264.0677,0
-1045.0242,307.99063,1
-142.5997,793.3631,0
-1026.4163,-8.455316,1
676.0186,416.8168,0
47.802338,213.87643,0
156.44418,-761.04926,1
824.0876,501.54407,0
734.7285,406.5908,0
739.6512,304.67377,0
337.94965,789.514,0
-116.37968,1015.20984,0
263.66476,-947.10095,1
414.12946,955.42004,0
1273.2229,983.2151,0
-257.47693,1122.4697,0
-279.4251,-414.8519,1
-192.34895,-676.77155,1
-329.15338,-864.6794,1
-137.15001,445.27246,1
-623.7385,285.78082,1
230.3222,881.24036,0
-118.30796,-193.1782,1
-544.087,-480.23178,1
-640.3385,1072.5157,1
1045.1343,916.3533,0
179.30888,-475.0293,1
780.1913,490.6164,0
855.0784,574.24756,0
31.09489,294.0309,0
505.28098,452.42966,0
-606.64594,627.8301,1
-316.20102,-561.0602,1
-1045.5846,-813.11,1
-17.14783,15.441067,0
653.07776,-687.3988,0
-33.2054,-207.96521,1
-683.4709,-465.16614,1
16.839249,-176.24234,1
-342.7434,310.13,1
1000.2358,906.0385,0
239.09709,54.749958,0
454.70847,-743.3001,1
-951.7693,-609.8859,1
212.08994,920.1187,0
-988.87244,-361.39218,1
1091.2971,-1052.4252,1
55.399067,891.09546,0
624.4259,770.8789,0
-469.55743,-941.5189,1
-815.55255,-500.80707,1
-497.6463,561.4,0
396.802,-190.81839,0
114.36311,595.5033,0
435.60672,-1073.8252,1
-190.24155,415.00323,0
-417.5332,699.21893,1
497.63544,-266.89282,0
203.16232,-772.1492,1
983.5649,-378.65323,0
258.53757,-481.65155,0
442.21802,-518.6958,0
423.38535,252.91953,0
-1007.6304,702.9745,1
-9.68783,331.5652,0
1170.3467,300.78232,0
885.43036,-234.2307,0
494.07172,9.76133,0
-280.19067,845.4197,0
-297.6457,-756.1705,1
678.4086,-952.8012,1
-998.0769,551.21173,1
523.97766,-70.03192,1
745.6917,-719.1372,1
-593.2688,-31.122421,1
349.62463,55.101494,0
-374.4397,483.62726,0
639.45905,-398.8584,0
-715.3677,-498.29834,1
-525.5015,-151.34705,1
323.88004,387.88498,0
-907.2201,827.00885,0
-293.93073,-887.89734,1
964.1704,-448.16,0
-821.71893,-144.83159,1
49.75426,-818.49835,1
329.84216,-771.71027,1
578.1816,835.8692,0
-60.083557,-648.15027,1
1034.5446,1105.0231,0
-288.84232,594.44653,0
-173.99489,-299.10468,1
29.08772,378.87454,0
815.42957,239.5969,0
-16.053774,-355.39233,1
-15.542216,-545.04736,1
-239.07057,120.42276,1
-1279.4362,862.18463,1
-1052.5125,764.4901,1
-828.4839,1161.8688,0
-590.46204,-342.70245,1
151.38513,-314.41592,1
224.60579,209.04391,0
-776.51074,669.07306,1
313.33966,48.346523,0
-959.3801,-841.3574,1
-711.3617,-849.4033,1
436.20746,-652.9708,0
647.33044,-609.1741,0
-420.9954,326.44232,0
269.0811,-788.85297,1
594.84894,458.81314,0
286.80627,334.58273,0
522.6452,704.51605,0
-81.09952,-531.6041,1
-496.17865,412.8901,0
701.9269,-960.3547,0
647.7712,662.7837,0
117.8819,-518.5396,0
-537.8636,1081.0652,1
408.2367,-927.0859,1
564.3018,-590.6937,0
851.3528,376.1137,0
874.8774,736.1752,0
-673.3021,-322.80652,1
727.0601,69.54617,0
-1002.9795,-757.40137,1
638.58624,-166.86823,0
-350.57175,-313.57117,1
512.9072,-806.1279,0
-48.854885,542.71674,0
26.707064,480.77234,0
786.525,-529.8593,0
-504.478,532.1436,1
-815.8519,-948.6848,1
-671.86884,-920.60876,1
697.2722,-668.3249,1
-335.21863,772.0744,0
-1021.29803,756.79596,1
-943.1326,205.42943,1
-454.92575,420.93243,1
-499.358,-697.96686,1
-660.1049,-703.97455,1
-670.9717,712.09717,0
-263.22592,565.37885,0
748.9792,644.7317,0
-740.54834,934.0502,1
-310.37924,248.7273,0
43.05704,494.21564,0
-948.07074,-842.0095,1
980.45386,-214.67905,0
864.01086,-347.08347,0
