%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
496.57416,942.14087,1
174.7375,97.93165,1
1118.2417,1092.3917,1
-581.2109,795.7912,1
636.57355,332.91098,1
956.96967,-687.33984,0
106.215866,-226.58298,0
305.46127,765.4577,1
763.63745,306.67816,1
505.71555,-862.3409,0
-696.0003,-133.03207,1
726.2002,537.43396,1
-764.87317,-641.0202,0
-729.065,143.431,1
-482.0504,-558.42426,0
104.18864,122.583954,1
-97.20102,-1049.256,0
-599.2873,404.31503,1
-1029.075,-453.85962,0
-769.1113,-804.4918,0
290.61465,165.58936,1
-309.83957,720.6306,1
-502.7162,-528.0821,0
-617.8695,-128.62546,0
-693.0792,276.4997,1
764.69257,850.196,1
-327.74817,123.882126,1
668.57587,-107.875175,0
491.0084,821.87354,1
497.67786,349.22147,1
-1124.332,301.46268,1
20.557455,622.0553,1
-805.95514,790.9495,1
862.4662,-777.4214,0
-109.894966,688.6572,1
407.2921,652.7732,1
94.38177,-681.3941,0
-181.21085,383.44305,1
-366.63596,753.5182,1
490.4704,-982.4724,0
1047.237,-110.46493,0
-166.46307,322.31332,1
425.3448,-642.9846,0
312.22012,-385.08508,0
868.75354,-348.2061,0
-164.09038,-14.595388,1
589.29065,671.27386,1
-582.555,41.961285,1
254.43077,-560.2717,0
1006.94336,1062.4175,1
-412.59082,607.1853,1
610.5393,436.57715,1
-568.06726,506.2726,1
403.41205,883.68054,1
490.86676,151.39595,1
546.4755,-470.61078,0
-251.72934,-35.374443,1
816.10345,326.66983,1
984.15894,-387.3314,0
756.2691,1104.9465,1
-8.6392,-660.70154,0
862.47046,-468.09772,0
-696.1445,-1022.3801,0
706.8176,-327.69928,0
245.95647,-573.45856,0
913.65796,628.20404,1
711.7206,775.8331,1
495.11346,544.9631,1
-1116.0436,-135.85745,0
55.903847,-532.64606,0
902.2078,-145.6551,0
776.8336,-469.765,0
689.08685,610.6025,1
-713.685,-831.89777,0
-855.66943,861.50757,1
-870.69666,627.91406,1
-284.0408,-266.31516,0
-1056.9803,669.56433,1
-442.09338,240.22705,1
448.8348,138.3753,1
83.50284,1108.3406,1
369.6926,693.98883,1
124.17883,-869.42566,0
-1017.5585,-819.9728,0
-897.22736,424.0079,1
-585.5424,-881.09814,0
230.80966,-18.226347,1
-6.073793,216.1427,1
-860.8683,701.2873,1
963.1631,558.62476,1
351.25204,473.5638,1
264.34592,-408.93484,0
608.80884,-282.00925,0
-1092.9661,-244.83199,0
-141.50609,746.93646,1
626.8496,75.789505,0
509.83102,544.5672,1
744.6972,378.50024,1
573.17847,-855.7522,0
-1064.1067,222.91846,1
887.3316,-411.09805,0
818.58453,-363.8092,0
-353.90054,-741.29395,0
-129.17207,130.99321,1
-366.76794,-649.5082,0
-214.29263,692.4293,1
175.07103,293.23373,1
-26.136566,-381.80014,0
-379.6994,-116.00568,0
-477.19086,896.4188,1
356.1729,328.7048,1
-477.59177,-394.5497,0
570.5837,572.15326,1
265.89117,-179.85626,0
369.3708,501.55762,1
835.78235,708.83813,1
-741.78534,208.09781,1
384.11462,-494.48532,0
198.51123,890.7813,1
216.30649,-158.53004,0
846.59595,-612.982,0
-811.9241,-1079.1141,0
-814.3084,-685.7211,0
324.7662,424.67126,1
959.9562,407.214,1
-27.54084,-573.0506,0
520.0054,234.60384,1
-1009.74963,-191.43233,0
-310.7161,-119.47919,0
-706.9383,-347.99673,0
260.66257,-625.9269,0
54.365314,-497.95932,0
-67.36579,52.108902,1
-721.8042,-223.4046,0
494.48434,39.253967,0
249.82349,-187.94084,0
869.81165,-770.3418,0
574.4652,-772.4581,0
-572.22675,-845.1736,0
-286.59247,-707.6151,0
571.42834,521.908,1
-473.08377,-218.67934,0
-387.44144,-993.1794,0
-666.6909,-998.34595,0
-257.66418,-713.41766,0
-806.4358,876.84015,1
-492.7837,295.229,1
130.84248,-429.1669,0
-600.56696,887.68896,1
594.29474,-62.417603,0
771.46405,895.9936,1
-123.46645,-919.95026,0
-316.1509,-437.8052,0
194.14018,-1096.8776,0
-304.26825,-867.6315,0
940.5843,544.7992,1
-192.49937,796.0755,1
20.931267,-629.979,0
-835.0942,-844.3427,0
-222.28932,611.5249,1
-65.97551,-790.25964,0
17.32292,-57.9066,1
-43.54952,-364.67523,0
-353.64304,1062.5751,1
194.08542,752.83185,1
-172.80397,590.05316,1
572.90186,158.48494,1
-637.7152,330.53345,1
835.0585,-791.5994,0
416.43378,820.53064,1
408.73846,938.7627,1
886.5366,-178.07487,0
-94.912766,-593.5446,0
-871.92706,454.46652,1
-148.3736,634.53143,1
947.77496,-949.70184,0
-328.48447,-453.11227,0
971.83,-585.12024,0
-1081.9603,-923.4742,0
698.9959,778.67926,1
-226.30432,231.77167,1
548.00305,-1075.9875,0
23.25451,-695.17175,0
-591.38153,571.4046,1
1110.171,607.03845,1
205.74768,109.84714,0
85.72056,915.2314,1
-214.05205,-444.67325,0
60.23344,-386.47308,0
435.7288,-777.999,0
-434.19482,-85.02414,0
-1058.9851,-9.605302,1
639.8557,747.4076,1
-702.8537,256.99414,1
438.9137,687.86237,1
-221.21057,-1150.3894,0
-208.00012,-470.0172,0
-320.86276,-1007.10675,0
702.98517,-331.26123,0
827.7696,-591.6395,0
-188.70103,86.86169,1
-403.44824,-766.66956,0
-979.6386,727.3626,1
-697.0548,43.120583,1
-96.88476,436.50943,1
-479.89557,460.89618,1
294.0331,-538.36163,0
203.13712,-960.4619,0
-323.0273,88.17315,1
-459.09918,99.90839,1
-621.7409,0.22977503,0
-557.2889,-190.11272,1
574.3643,749.1799,1
-430.6614,788.5559,1
923.5625,714.54724,1
617.66614,-680.099,0
430.93518,-658.3865,0
168.38425,1060.4165,1
-1043.9001,840.10944,1
-993.90137,524.9758,1
-826.96027,928.363,1
21.224112,235.35143,1
191.40666,-392.71777,0
-796.95844,415.75446,1
848.6747,-451.4521,0
33.29093,-80.22709,0
-117.48243,681.389,1
-10.322126,473.07993,1
-7.2137046,162.31786,1
468.66537,-683.71136,0
-997.53876,-887.8008,0
36.929607,-67.67138,0
-473.04663,505.0279,1
720.85175,-57.280514,0
-438.86917,792.7906,1
43.421772,657.1148,1
193.44453,-349.21274,0
-282.06976,560.4937,1
-743.47125,-372.21414,0
-692.1789,22.372873,1
-476.349,-314.61426,0
162.08269,-87.58466,0
260.3868,10.965933,1
-64.45015,-593.188,0
740.8942,-311.4083,0
203.49414,69.807465,1
538.1619,-187.74403,0
-920.12506,-105.251205,1
-402.39163,825.82837,1
948.6293,-410.96912,0
-296.59494,1074.0892,1
-382.6283,-412.68777,0
-53.10163,149.22266,1
602.8835,477.37808,1
-593.49243,17.142933,1
57.76243,-276.97513,0
48.471714,308.0305,1
-752.3901,-1031.6588,0
-142.17932,755.4516,1
-711.86914,807.7596,1
-391.053,-31.563255,0
-548.48016,106.25595,1
-314.8493,320.8937,1
951.5104,-845.93036,0
756.5357,142.72916,1
-83.539955,140.3201,1
-74.370926,597.0544,1
-540.15137,229.89534,1
-649.8993,827.8494,1
-242.43672,-72.01313,0
-648.0423,-437.53763,0
841.3455,816.64526,1
-177.41214,-46.683323,1
217.77527,-652.26636,0
333.0287,243.20271,1
