%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
354.74063,205.69762,1
-289.1511,419.80652,1
-438.74973,-471.36234,0
-167.88791,-149.37166,0
645.2934,262.91666,1
37.73694,-772.31006,0
493.38504,-797.80365,1
-274.6064,-714.38196,0
486.25168,-760.4018,0
198.26552,1177.806,1
286.7064,-746.4783,0
62.763515,-617.1876,0
843.2945,424.46738,1
-490.80234,-303.54688,0
-305.9131,442.24152,0
59.78425,868.9621,1
-145.00671,862.91644,1
-631.63934,646.59515,1
-623.02704,274.92163,0
856.1854,-822.94824,0
-343.48294,-266.3594,0
-631.804,-261.90863,0
-816.2231,-476.11093,0
-565.89844,148.71674,0
-787.28613,-1090.3516,0
-681.3157,22.30148,0
-762.3538,-69.56937,0
-554.31555,821.03534,1
360.56656,-696.3518,0
-820.355,-128.93599,0
833.6069,292.36597,1
-649.9102,97.69552,0
1061.0242,597.8081,1
502.4111,-959.94836,0
-454.91736,535.9959,1
259.8404,-695.4632,0
-139.7921,-442.1078,0
-619.121,-383.49963,0
139.78722,172.42546,1
296.56262,-970.5323,0
-40.008305,531.7711,1
111.9336,-548.68585,0
-1095.0059,-61.73762,0
-143.9006,-553.2425,0
97.95908,132.30804,1
-834.7524,875.544,1
-217.82054,1020.69,1
-1017.0029,525.7029,0
636.7338,904.6187,1
-137.54346,701.24335,1
711.0407,-133.08385,1
-745.632,923.67065,1
462.68552,-422.29172,0
-234.29123,-893.3038,0
182.8908,577.9955,1
-626.8724,-836.4858,0
-905.9882,300.48105,0
-24.409958,-593.97675,0
3.4254735,887.02856,1
70.6069,295.36557,1
398.19318,462.12686,1
-61.576782,703.1597,1
264.8679,921.7346,1
-481.46036,842.8024,1
-481.1752,296.8815,0
-637.05646,-169.78864,0
-672.5131,-48.60007,0
-1149.5754,833.39014,0
211.82253,-926.8375,0
-753.65204,-1029.8171,0
410.49008,-481.799,0
-207.73695,-286.40082,0
591.00336,-132.91994,1
409.71994,964.0826,1
-407.7065,552.9029,1
2.6709232,148.0961,1
