%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 300
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
458.78558,147.85638,1
494.3316,-189.30301,1
44.16333,415.3648,1
412.6463,241.83801,1
95.60071,360.09082,1
-490.89014,-457.43408,0
-451.2921,14.397888,1
-131.2533,198.24615,1
268.45734,18.496155,1
-179.34091,-117.099,1
369.40955,25.358398,1
216.57648,202.8645,1
-358.84814,-60.07852,1
381.77313,83.802795,1
2.4406433,356.34473,1
305.74658,129.33295,1
-225.17267,367.80273,1
-383.12027,440.34552,1
-399.88498,461.451,1
192.17365,149.84076,1
-68.24011,6.1953125,1
-130.1503,103.62366,1
411.14093,221.60468,1
-389.9571,-452.30234,0
-460.50052,197.99188,1
68.02869,-146.26816,1
-380.12482,-180.6442,1
454.39447,443.28564,1
-162.41418,-139.2366,1
-251.28687,334.45453,1
-79.55707,362.5302,1
336.0232,292.02203,1
55.190613,-476.38666,0
250.28204,-113.92648,1
159.97327,429.32886,1
-378.59543,-33.10077,1
127.10669,441.92908,1
-259.77252,39.73468,1
-437.62582,-40.33673,1
24.461914,-81.68024,1
-176.53793,280.62738,1
481.02563,-195.17795,1
189.48126,-40.888855,1
-389.04095,-461.73563,0
-33.842743,-103.072876,1
155.20209,-71.098236,1
285.36493,98.566284,1
403.34937,81.97186,1
-451.3837,14.519775,1
-232.14795,38.165833,1
476.7884,-228.5434,1
491.6408,123.612305,1
-157.58838,401.20032,1
43.91284,301.56683,1
175.64716,-72.79382,1
15.733643,106.306946,1
159.03314,359.2503,1
-309.68274,-479.35135,0
-232.39581,-109.434845,1
179.36176,493.43335,1
-288.3224,-475.35242,0
-490.55292,-107.65909,1
307.5821,107.79834,1
-277.13028,122.94122,1
374.47992,152.51318,1
352.3993,-60.03311,1
114.2439,369.63025,1
-309.97766,-12.514923,1
303.0498,281.84406,1
-407.712,-17.354004,1
418.98206,231.36658,1
333.7771,148.18494,1
-302.15546,52.67749,1
-480.32767,63.104736,1
443.7201,-0.29663086,1
-380.73987,60.108154,1
240.15833,-113.18973,1
361.09613,-43.476837,1
291.7035,394.72388,1
-277.59265,-466.34793,0
-367.01917,-417.3022,0
-312.40613,-453.0237,0
473.15094,80.39258,1
-118.03635,-428.10693,0
-169.89368,-164.57077,1
-66.19098,479.5075,1
-231.384,-188.65833,1
-274.0758,94.913635,1
405.97278,271.23187,1
151.99603,-140.28986,1
125.076904,176.29749,1
146.19348,114.2171,1
