%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 300
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
266.34534,624.2822,1
73.42407,550.2766,1
383.67236,-222.02008,1
985.7168,880.4221,1
-202.10919,250.26697,1
805.0597,-530.3159,1
467.84668,314.93884,1
840.2097,-795.0286,1
108.56323,751.8812,1
-107.58807,433.66187,1
534.11304,975.2189,1
-853.541,13.329407,0
555.13367,-713.25916,1
923.7982,717.2466,1
-981.06256,-854.224,0
-722.76013,505.0022,1
378.9978,223.6482,1
-513.1046,-424.22656,0
-958.08185,-549.7112,0
659.5587,92.49951,1
-336.18103,-737.45667,0
838.8158,998.4027,1
554.4093,-171.84424,1
-699.2523,443.00854,1
395.83264,-853.626,1
40.17383,993.01904,1
594.70996,-384.43347,1
-155.04626,24.095825,1
759.6255,-89.802185,1
-189.04834,-527.18604,1
-967.3653,823.96204,1
667.83716,-526.2505,1
302.1986,-887.1729,1
-134.01715,-685.13306,1
-313.72473,311.1941,1
17.290344,615.07666,1
98.13208,-3.668396,1
-12.140686,-338.96484,1
-806.2325,-959.30273,0
-292.01135,435.964,1
548.6577,18.709045,1
-404.92047,-968.5345,0
522.8761,-876.01245,1
-52.54242,705.0377,1
-936.75214,321.04114,0
501.20898,-158.20331,1
812.3779,-412.8996,1
-554.0022,262.42285,1
557.1383,249.07532,1
-750.12646,339.15845,1
350.2113,-50.24695,1
551.2112,904.0491,1
631.43494,332.56445,1
-96.61145,-810.2438,1
-131.49182,-104.14221,1
-211.65906,-672.34705,1
-642.0388,953.3137,1
-501.33685,-475.15295,0
-634.83765,-872.1897,0
-338.2423,-706.27454,0
-762.78784,589.2466,1
415.85547,922.07214,1
640.15295,-407.45984,1
-453.4364,-251.2406,1
-348.00055,780.2123,1
253.92407,-250.53107,1
85.67639,-815.3162,1
643.7937,438.8529,1
-878.97595,-101.3985,0
523.6841,159.99402,1
-907.387,977.22266,1
110.18799,-704.91406,1
-918.8633,-200.09943,0
148.2367,-316.74487,1
-340.54193,-110.20923,1
663.28516,485.73083,1
-269.3639,-478.5401,1
-416.90717,-220.78455,1
945.2988,605.9076,1
356.42725,-52.781555,1
501.04797,-70.78705,1
969.9634,-561.3811,1
-522.4564,-986.568,0
-792.8299,243.06042,1
459.36975,-475.65796,1
-114.452515,128.2362,1
-140.17126,15.768433,1
794.6421,-592.27203,1
-602.6098,-956.0963,0
-267.79492,678.7322,1
509.93335,-503.16083,1
79.9801,671.0238,1
-780.4629,-365.02557,0
870.35254,242.8656,1
603.1526,-191.32538,1
718.922,-938.4826,1
-270.42908,-147.25049,1
-515.6129,-429.5362,0
-309.32263,753.02783,1
-934.0412,472.41797,1
-814.9402,-661.4917,0
-640.1503,-853.37573,0
4.619507,473.26807,1
-929.78955,-829.0694,0
729.90784,-494.4864,1
-193.78284,-566.448,1
957.4946,576.86475,1
-304.16193,-803.594,0
462.74634,-196.84119,1
-391.86237,911.3489,1
-156.02368,308.7755,1
999.8048,-407.40405,1
-600.9972,629.6741,1
-612.0807,113.0647,1
-747.26794,-903.9508,0
-500.20264,-80.671814,1
84.458496,463.70496,1
-737.9115,349.32397,1
196.15576,-716.04236,1
-34.87854,988.9132,1
-881.8922,-714.9249,0
-825.17426,317.83997,1
465.80786,-616.0322,1
-736.61633,272.59387,1
-657.8672,855.04663,1
-208.90417,293.12915,1
221.3761,653.86816,1
395.77148,-77.64728,1
-43.19696,926.3898,1
332.28174,91.7384,1
-679.0315,330.3601,1
-646.25525,-146.61267,0
-681.8842,953.5746,1
237.13611,-491.70267,1
-599.4463,-665.5725,0
-70.04944,832.5675,1
30.86316,417.708,1
210.35693,769.7981,1
116.17444,-981.8139,1
-389.18976,-973.648,0
-714.8579,238.78577,1
216.02844,34.80725,1
221.14014,-103.68292,1
426.18298,-210.932,1
51.906128,954.6614,1
-27.605835,-132.0224,1
-659.02954,59.09131,1
-744.3649,-11.890076,0
653.6886,385.26,1
-722.3987,147.62817,1
-684.87805,-229.7951,0
141.14856,665.46985,1
-786.6511,907.16614,1
-384.5266,765.82227,1
-199.39484,-237.02924,1
841.297,-733.9463,1
805.9912,-683.8098,1
-106.115906,396.97095,1
597.30444,216.22717,1
-373.1903,-182.52332,1
615.88745,27.946777,1
-13.03418,481.40027,1
-142.79199,353.41467,1
821.3755,-827.51733,1
-18.782104,311.7594,1
-911.0377,244.19836,0
-689.6379,-389.86517,0
345.49878,-615.70374,1
709.44214,753.2007,1
387.54004,-930.3474,1
140.3612,-184.49677,1
-978.7807,785.2229,1
-453.8885,640.5852,1
64.37012,-948.40955,1
-357.8131,332.60803,1
-104.491516,838.8085,1
-820.06244,470.72388,1
-869.20703,-960.0644,0
-704.79236,603.38806,1
340.156,335.87085,1
666.92664,269.25317,1
-893.6217,3.7930298,0
-615.8474,-956.7574,0
185.95679,-995.2838,1
656.39514,920.85266,1
-951.80615,31.37439,0
-199.12878,-269.31555,1
-350.98602,-894.1484,0
-698.3225,204.66284,1
-61.406128,-212.92285,1
-840.30853,837.34973,1
-693.03357,81.50867,1
-761.66223,-269.78503,0
939.3408,-253.97083,1
859.1896,-756.32275,1
882.9574,-169.71246,1
512.6997,-530.8132,1
519.8729,-973.5879,1
-776.8167,285.56775,1
95.15405,677.23706,1
843.5067,-921.7043,1
-32.470764,139.87476,1
-646.2396,77.33899,1
-670.3679,609.6808,1
-900.4768,-291.35815,0
-712.45435,480.35095,1
829.1571,356.28577,1
394.43518,849.1033,1
375.8921,496.8142,1
0.63360596,-128.40814,1
-120.70245,294.16028,1
112.62622,-670.59174,1
-447.9414,433.07227,1
-154.04578,-6.2720947,1
12.138367,151.86084,1
714.0746,801.91406,1
897.3009,9.170776,1
841.3036,705.79297,1
-129.75848,-412.97186,1
324.09534,-109.6535,1
